"crim";"lstat";"rad";"tax";"high_crim_rate"
"1";0.00632;4.98;1;296;FALSE
"2";0.02731;9.14;2;242;FALSE
"3";0.02729;4.03;2;242;FALSE
"4";0.03237;2.94;3;222;FALSE
"5";0.06905;5.33;3;222;FALSE
"6";0.02985;5.21;3;222;FALSE
"7";0.08829;12.43;5;311;FALSE
"8";0.14455;19.15;5;311;FALSE
"9";0.21124;29.93;5;311;FALSE
"10";0.17004;17.1;5;311;FALSE
"11";0.22489;20.45;5;311;FALSE
"12";0.11747;13.27;5;311;FALSE
"13";0.09378;15.71;5;311;FALSE
"14";0.62976;8.26;4;307;TRUE
"15";0.63796;10.26;4;307;TRUE
"16";0.62739;8.47;4;307;TRUE
"17";1.05393;6.58;4;307;TRUE
"18";0.7842;14.67;4;307;TRUE
"19";0.80271;11.69;4;307;TRUE
"20";0.7258;11.28;4;307;TRUE
"21";1.25179;21.02;4;307;TRUE
"22";0.85204;13.83;4;307;TRUE
"23";1.23247;18.72;4;307;TRUE
"24";0.98843;19.88;4;307;TRUE
"25";0.75026;16.3;4;307;TRUE
"26";0.84054;16.51;4;307;TRUE
"27";0.67191;14.81;4;307;TRUE
"28";0.95577;17.28;4;307;TRUE
"29";0.77299;12.8;4;307;TRUE
"30";1.00245;11.98;4;307;TRUE
"31";1.13081;22.6;4;307;TRUE
"32";1.35472;13.04;4;307;TRUE
"33";1.38799;27.71;4;307;TRUE
"34";1.15172;18.35;4;307;TRUE
"35";1.61282;20.34;4;307;TRUE
"36";0.06417;9.68;5;279;FALSE
"37";0.09744;11.41;5;279;FALSE
"38";0.08014;8.77;5;279;FALSE
"39";0.17505;10.13;5;279;FALSE
"40";0.02763;4.32;3;252;FALSE
"41";0.03359;1.98;3;252;FALSE
"42";0.12744;4.84;3;233;FALSE
"43";0.1415;5.81;3;233;FALSE
"44";0.15936;7.44;3;233;FALSE
"45";0.12269;9.55;3;233;FALSE
"46";0.17142;10.21;3;233;FALSE
"47";0.18836;14.15;3;233;FALSE
"48";0.22927;18.8;3;233;FALSE
"49";0.25387;30.81;3;233;FALSE
"50";0.21977;16.2;3;233;FALSE
"51";0.08873;13.45;4;243;FALSE
"52";0.04337;9.43;4;243;FALSE
"53";0.0536;5.28;4;243;FALSE
"54";0.04981;8.43;4;243;FALSE
"55";0.0136;14.8;3;469;FALSE
"56";0.01311;4.81;5;226;FALSE
"57";0.02055;5.77;2;313;FALSE
"58";0.01432;3.95;5;256;FALSE
"59";0.15445;6.86;8;284;FALSE
"60";0.10328;9.22;8;284;FALSE
"61";0.14932;13.15;8;284;FALSE
"62";0.17171;14.44;8;284;FALSE
"63";0.11027;6.73;8;284;FALSE
"64";0.1265;9.5;8;284;FALSE
"65";0.01951;8.05;3;216;FALSE
"66";0.03584;4.67;4;337;FALSE
"67";0.04379;10.24;4;337;FALSE
"68";0.05789;8.1;4;345;FALSE
"69";0.13554;13.09;4;345;FALSE
"70";0.12816;8.79;4;345;FALSE
"71";0.08826;6.72;4;305;FALSE
"72";0.15876;9.88;4;305;FALSE
"73";0.09164;5.52;4;305;FALSE
"74";0.19539;7.54;4;305;FALSE
"75";0.07896;6.78;5;398;FALSE
"76";0.09512;8.94;5;398;FALSE
"77";0.10153;11.97;5;398;FALSE
"78";0.08707;10.27;5;398;FALSE
"79";0.05646;12.34;5;398;FALSE
"80";0.08387;9.1;5;398;FALSE
"81";0.04113;5.29;4;281;FALSE
"82";0.04462;7.22;4;281;FALSE
"83";0.03659;6.72;4;281;FALSE
"84";0.03551;7.51;4;281;FALSE
"85";0.05059;9.62;3;247;FALSE
"86";0.05735;6.53;3;247;FALSE
"87";0.05188;12.86;3;247;FALSE
"88";0.07151;8.44;3;247;FALSE
"89";0.0566;5.5;2;270;FALSE
"90";0.05302;5.7;2;270;FALSE
"91";0.04684;8.81;2;270;FALSE
"92";0.03932;8.2;2;270;FALSE
"93";0.04203;8.16;4;270;FALSE
"94";0.02875;6.21;4;270;FALSE
"95";0.04294;10.59;4;270;FALSE
"96";0.12204;6.65;2;276;FALSE
"97";0.11504;11.34;2;276;FALSE
"98";0.12083;4.21;2;276;FALSE
"99";0.08187;3.57;2;276;FALSE
"100";0.0686;6.19;2;276;FALSE
